Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 3;Tarde;14:40;Ciências Exatas;PA-09;3;2ª - EPEx-PG;202625208;Intervenção em Neuropsicologia e Doenças Crônicas: Qualidade de Vida e Inclusão;TIARA TEREZINHA MATTE BORGES MACHADO;Saúde;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:00;Ciências Exatas;PA-09;4;2ª - EPEx-PG;202625202;Intervenção em Neuropsicologia e Doenças Crônicas: Qualidade de Vida e Inclusão;DIEGO MACIEL LIMA;Saúde;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências Exatas;PA-08;2;2ª - EPEx-PG;202625182;Divulgação Científica da Geologia em Lares de Acolhimento;ANA CECILIA BRANCO SOWINSKI;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências Exatas;PA-07;2;2ª - EPEx-PG;202625168;Pppgcom, Pesquisa e Extensão;MARIANA BASSO APOLINARIO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências Exatas;PA-08;3;2ª - EPEx-PG;202625133;Experiências Extensionistas na Pós-graduação em Física;MARCELO PRADO CIONEK;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências da Terra;CT01;1;2ª - EPEx-PG;202625079;Intervenção em Neuropsicologia e Doenças Crônicas: Qualidade de Vida e Inclusão;LAIS FARIA MASULK CARDOZO;Saúde;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências da Terra;CT01;2;2ª - EPEx-PG;202625067;Impacto do Tratamento de Pontos Gatilho Miofasciais na Percepção do Zumbido Somatossensorial;GABRIELA SCHUMACHER DE CAMARGO;Saúde;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:00;Ciências Exatas;PA-08;4;2ª - EPEx-PG;202625031;Grupo de Estudos e Debates Sobre Políticas de Educação Profissional e Tecnológica - Gedept;MARIANA CEQUINEL BORGES DE SOUZA;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências Exatas;PA-04;2;2ª - EPEx-PG;202624758;Atuação Extensionista de Agentes Regionais de Inovação da Ufpr nos Ecossistemas de Curitiba, Região Metropolitana e Litoral;PAMELLA MEDICE DE ARAUJO;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências da Terra;CT02;1;2ª - EPEx-PG;202624632;A Prova-escrita-em-fases Como Instrumento de Avaliação em Matemática;ISABELE ANDRADE VICHINIESKI;Não se aplica (Opção exclusiva para a modalidade de pesquisa);Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências Exatas;PA-04;3;2ª - EPEx-PG;202624597;Atuação Extensionista de Agentes Regionais de Inovação da Ufpr nos Ecossistemas de Curitiba, Região Metropolitana e Litoral;ARTUR OLIARI LIRA;Tecnologia e Produção;Comunicação Oral
